EQ, 691325614.85, CMW, UW,   , EHZ, S, None, F
EQ, 691325618.55, MBW, UW,   , EHZ, P, None, F
EQ, 771212223.03, ASR, UW,   , SHZ, P, None, F
EQ, 771212229.05, JCW, UW,   , SHZ, P, None, F
EQ, 771212218.7, DBO, UW,   , SHZ, P, None, F
EQ, 771212219.93, VBE, UW,   , SHZ, P, None, F
EQ, 771212225.28, FMW, UW,   , SHZ, P, None, F
EQ, 771212211.03, LNO, UW,   , SHZ, P, None, F
EQ, 771212229.01, BOW, UW,   , SHZ, P, None, F
EQ, 771212224.74, LO2, UW,   , SHZ, P, None, F
EQ, 771212234.06, MCW, UW,   , SHZ, P, None, F
EQ, 771212218.09, VCR, UW,   , SHZ, P, None, F
EQ, 771212234.97, STW, UW,   , SHZ, P, None, F
EQ, 771212222.47, ELL, UW,   , SHZ, P, None, F
EQ, 771212215.22, VIP, UW,   , SHZ, P, None, F
EQ, 771212215.84, JBO, UW,   , SHZ, P, None, F
EQ, 771212220.94, SSO, UW,   , SHZ, P, None, F
EQ, 771212222.68, WAT, UW,   , SHZ, P, None, F
EQ, 687333748.8, STD, UW,   , EHZ, P, None, F
EQ, 687333751.12, ELK, UW,   , EHZ, P, None, F
EQ, 687333750.36, CDF, UW,   , EHZ, P, None, F
EQ, 687333752.67, CDF, UW,   , EHZ, S, None, F
EQ, 687333748.78, SHW, UW,   , EHZ, P, None, F
EQ, 687333750.13, FL2, UW,   , EHZ, P, None, F
EQ, 687333752.02, FL2, UW,   , EHZ, S, None, F
EQ, 687333748.99, JUN, UW,   , EHZ, P, None, F
EQ, 687333750.42, JUN, UW,   , EHZ, S, None, F
EQ, 687333749.23, EDM, UW,   , EHZ, P, None, F
EQ, 687333748.77, HSR, UW,   , EHZ, P, None, F
EQ, 687333748.87, SOS, UW,   , EHZ, P, None, F
EQ, 687333750.08, SOS, UW,   , EHZ, S, None, F
EQ, 687333751.12, MTM, UW,   , EHZ, P, None, F
EQ, 687333752.75, KOS, UW,   , EHZ, P, None, F
EQ, 687333756.55, KOS, UW,   , EHZ, S, None, F
EQ, 693707447.65, VCR, UW,   , SHZ, P, None, F
EQ, 693707462.76, ASR, UW,   , SHZ, P, None, F
EQ, 693707470.39, WAT, UW,   , SHZ, P, None, F
EQ, 693707450.64, VBE, UW,   , SHZ, P, None, F
EQ, 693707463.67, KMO, UW,   , SHZ, P, None, F
EQ, 693707469.14, FMW, UW,   , SHZ, P, None, F
EQ, 693707448.64, LNO, UW,   , SHZ, P, None, F
EQ, 693707442.84, VIP, UW,   , SHZ, P, None, F
EQ, 693707448.9, JBO, UW,   , SHZ, P, None, F
EQ, 693707466.92, DPW, UW,   , SHZ, P, None, F
EQ, 693707468.27, SAW, UW,   , SHZ, P, None, F
EQ, 773422914.82, VSP, UW,   , EHZ, P, None, F
EQ, 773422915.9, VRC, UW,   , EHZ, P, None, F
EQ, 773422917.97, VRC, UW,   , EHZ, S, None, F
EQ, 773422916.05, LAB, UW,   , EHE, S, None, F
EQ, 773422914.47, LAB, UW,   , EHZ, P, None, F
EQ, 773422918.31, HOG, UW,   , EHZ, P, None, F
EQ, 773422922.28, HOG, UW,   , EHZ, S, None, F
EQ, 683021770.55, ASR, UW,   , SHZ, P, None, F
EQ, 683021773.58, JCW, UW,   , SHZ, P, None, F
EQ, 683021759.92, DBO, UW,   , SHZ, P, None, F
EQ, 683021768.85, VBE, UW,   , SHZ, P, None, F
EQ, 683021763.4, KMO, UW,   , SHZ, P, None, F
EQ, 683021771.59, FMW, UW,   , SHZ, P, None, F
EQ, 683021779.26, LNO, UW,   , SHZ, P, None, F
EQ, 683021766.65, BOW, UW,   , SHZ, P, None, F
EQ, 683021774.0, JBO, UW,   , SHZ, P, None, F
EQ, 683021769.66, VCR, UW,   , SHZ, P, None, F
EQ, 683021772.57, MCW, UW,   , SHZ, P, None, F
EQ, 683021778.06, WAT, UW,   , SHZ, P, None, F
EQ, 683021779.8, SAW, UW,   , SHZ, P, None, F
EQ, 683021777.4, WA2, UW,   , SHZ, P, None, F
